2014-09-12 10:49:44 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 63]
2014-09-12 10:49:44 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 64]
2014-09-12 10:49:44 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 65]
2014-09-12 10:49:44 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 67]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 53]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 54]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 55]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 56]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 57]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 58]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 59]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 60]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 61]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 62]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 63]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 64]
2014-09-12 10:49:46 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 65]
2014-09-12 10:49:46 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 67]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 53]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 54]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 55]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 56]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 57]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 58]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 59]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 60]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 61]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 62]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 63]
2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 64]
